"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Margin of Error","±296","","±5.9","±6.0","±2.0","±2.0","±0.5","±1.2","±0.01","±3.4","±3.7","±0.6","±2.7","±2.5","","±1.2","±0.9","±0.9","±1.2","±1.2","±8.1","±8.1","±1.2","±1.2","±1.2","±1.2","±1.2","±306","","±2.2","±2.2","±2.1","±3.1","±4.2","±5.5","±4.2","±5.3","±3.2","±5.2","","±4.1","±4.9","±4.6","±4.4","±2.5","±4.2","±2.6","±2.3","±4.1","±2.2","","±296","±4.9","±6.7","±10.0","±10.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,477","","85.2%","80.1%","5.1%","5.1%","0.0%","0.0%","1.03","2.8%","5.6%","1.1%","0.0%","5.3%","","100.0%","100.0%","0.0%","0.0%","100.0%","53.6%","46.4%","0.0%","0.0%","0.0%","0.0%","100.0%","1,399","","4.6%","3.9%","3.6%","2.4%","9.4%","24.6%","11.4%","12.7%","3.4%","24.0%","","12.8%","14.9%","15.4%","12.4%","6.6%","15.0%","9.0%","4.3%","9.6%","24.8","","1,477","3.2%","11.9%","44.5%","40.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±206","","±7.5","±8.1","±2.9","±2.9","±2.3","±2.3","±0.02","±3.1","±5.9","±1.2","±2.3","±3.9","","±2.3","±2.3","±2.3","±2.3","±2.3","±9.5","±9.5","±2.3","±2.3","±2.3","±2.3","±2.3","±205","","±3.7","±3.1","±3.2","±2.3","±6.3","±8.9","±7.4","±6.9","±2.5","±10.2","","±7.1","±7.7","±6.5","±7.0","±4.4","±6.6","±4.2","±3.2","±5.8","±3.2","","±206","±5.1","±5.6","±11.1","±10.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,413","","77.8%","74.4%","3.4%","2.7%","0.7%","0.0%","1.02","8.8%","4.0%","0.0%","6.9%","2.5%","","100.0%","98.5%","1.5%","0.0%","100.0%","59.2%","40.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,377","","3.5%","2.3%","1.6%","8.3%","9.2%","13.7%","11.7%","18.7%","7.8%","23.3%","","12.8%","18.7%","22.6%","11.2%","1.2%","12.6%","3.1%","5.8%","12.1%","23.9","","1,413","3.0%","26.4%","31.7%","38.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±205","","±6.9","±7.1","±2.7","±2.3","±1.1","±2.4","±0.02","±6.6","±3.8","±2.4","±5.3","±1.9","","±2.4","±1.8","±1.8","±2.4","±2.4","±11.1","±11.1","±2.4","±2.4","±2.4","±2.4","±2.4","±207","","±3.1","±2.6","±2.6","±5.1","±4.4","±7.1","±4.9","±7.6","±5.3","±7.3","","±5.4","±7.0","±6.6","±7.8","±2.0","±6.6","±2.7","±3.0","±6.5","±3.7","","±205","±4.7","±10.1","±10.9","±12.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4617, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","697","","77.0%","74.5%","2.6%","0.9%","1.1%","0.6%","1.02","3.0%","0.9%","0.6%","3.9%","14.6%","","99.6%","96.0%","3.6%","0.4%","100.0%","34.9%","65.1%","0.0%","0.0%","0.0%","0.0%","100.0%","595","","0.7%","0.5%","3.2%","3.9%","6.4%","14.1%","16.3%","15.6%","9.9%","29.4%","","8.9%","12.3%","14.1%","16.5%","3.5%","11.9%","9.2%","9.6%","13.9%","29.6","","697","0.0%","21.1%","54.7%","24.2%","","8.5%","6.9%","8.0%","15.1%","14.5%","1.4%"
"        Margin of Error","±92","","±8.5","±8.3","±2.1","±1.2","±1.3","±1.1","±0.02","±2.9","±1.3","±0.8","±4.0","±5.9","","±0.9","±2.8","±2.4","±0.9","±4.9","±9.0","±9.0","±4.9","±4.9","±4.9","±4.9","±4.9","±81","","±0.9","±0.7","±2.3","±2.8","±3.1","±6.1","±4.8","±6.1","±4.8","±6.2","","±4.1","±4.5","±6.4","±6.6","±2.7","±5.1","±5.0","±3.9","±5.2","±3.2","","±92","±4.9","±6.4","±9.7","±8.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","331","","87.6%","86.4%","1.2%","0.0%","0.0%","1.2%","1.02","3.3%","1.8%","1.2%","0.0%","6.0%","","100.0%","92.4%","7.6%","0.0%","100.0%","24.2%","75.8%","0.0%","0.0%","0.0%","0.0%","100.0%","311","","1.3%","1.0%","6.1%","7.4%","8.0%","9.0%","15.4%","15.8%","15.1%","20.9%","","8.0%","10.3%","13.8%","25.7%","1.6%","5.8%","7.4%","14.1%","13.2%","29.2","","331","0.0%","13.6%","55.9%","30.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±58","","±6.4","±6.5","±2.3","±10.0","±10.0","±2.3","±0.03","±3.5","±2.7","±1.7","±10.0","±4.4","","±10.0","±5.1","±5.1","±10.0","±10.0","±9.0","±9.0","±10.0","±10.0","±10.0","±10.0","±10.0","±55","","±1.8","±1.4","±4.4","±5.4","±4.2","±5.8","±8.7","±9.4","±7.3","±8.1","","±5.2","±6.4","±9.0","±10.6","±2.7","±4.3","±4.8","±6.8","±7.5","±4.3","","±58","±10.0","±6.9","±10.8","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366","","67.5%","63.7%","3.8%","1.6%","2.2%","0.0%","1.03","2.7%","0.0%","0.0%","7.4%","22.4%","","99.2%","99.2%","0.0%","0.8%","100.0%","44.5%","55.5%","0.0%","0.0%","0.0%","0.0%","100.0%","284","","0.0%","0.0%","0.0%","0.0%","4.6%","19.7%","17.3%","15.5%","4.2%","38.7%","","9.9%","14.4%","14.4%","6.3%","5.6%","18.7%","11.3%","4.6%","14.8%","29.9","","366","0.0%","27.9%","53.6%","18.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±72","","±13.0","±12.8","±3.6","±2.3","±2.6","±9.1","±0.04","±3.2","±9.1","±9.1","±7.1","±8.8","","±1.8","±1.8","±9.1","±1.8","±9.1","±12.7","±12.7","±9.1","±9.1","±9.1","±9.1","±9.1","±54","","±11.6","±11.6","±11.6","±11.6","±4.3","±11.1","±7.8","±7.5","±4.2","±12.7","","±6.5","±6.7","±9.9","±7.1","±5.0","±10.3","±9.1","±3.4","±7.2","±4.7","","±72","±9.1","±9.2","±12.1","±9.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4619.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,746","","63.6%","57.2%","6.4%","2.4%","0.9%","3.1%","1.07","13.9%","5.4%","6.7%","7.9%","2.4%","","98.9%","96.5%","2.4%","1.1%","100.0%","48.7%","51.3%","0.0%","0.0%","0.0%","0.0%","100.0%","2,679","","11.0%","1.0%","1.6%","3.0%","8.1%","17.7%","11.6%","13.0%","4.1%","28.9%","","11.9%","12.8%","14.5%","8.3%","4.4%","22.2%","4.4%","6.5%","15.0%","29.8","","2,746","14.5%","20.8%","26.4%","38.3%","","13.1%","16.3%","19.1%","23.4%","16.0%","0.5%"
"        Margin of Error","±403","","±10.3","±9.8","±3.1","±1.4","±0.8","±2.8","±0.04","±4.6","±3.8","±3.4","±4.3","±2.9","","±1.3","±2.5","±2.0","±1.3","±1.3","±8.5","±8.5","±1.3","±1.3","±1.3","±1.3","±1.3","±407","","±4.1","±1.3","±1.8","±2.0","±3.9","±5.5","±5.1","±4.5","±2.5","±5.3","","±5.0","±3.7","±3.5","±3.4","±2.8","±5.9","±3.0","±3.8","±4.5","±3.2","","±403","±8.7","±8.0","±7.8","±12.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,490","","58.8%","54.3%","4.5%","1.4%","1.1%","1.9%","1.06","10.2%","4.5%","11.1%","11.9%","3.6%","","98.5%","95.8%","2.7%","1.5%","100.0%","45.8%","54.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,437","","7.8%","1.9%","2.0%","5.1%","9.7%","23.0%","11.1%","9.2%","4.2%","26.0%","","11.9%","12.8%","16.6%","4.5%","3.3%","26.1%","3.5%","8.8%","12.5%","28.0","","1,490","15.2%","15.8%","26.4%","42.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±310","","±13.1","±12.3","±3.2","±1.4","±1.3","±2.3","±0.04","±6.1","±4.4","±5.3","±6.5","±5.2","","±2.4","±4.0","±3.1","±2.4","±2.3","±10.9","±10.9","±2.3","±2.3","±2.3","±2.3","±2.3","±308","","±4.8","±2.4","±3.0","±3.8","±6.5","±7.6","±5.4","±6.3","±3.4","±6.4","","±5.6","±5.1","±7.4","±3.5","±2.8","±9.4","±2.8","±6.4","±5.3","±3.5","","±310","±9.2","±8.0","±9.1","±15.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,256","","69.3%","60.7%","8.7%","3.5%","0.6%","4.5%","1.10","18.2%","6.5%","1.6%","3.2%","1.1%","","99.4%","97.3%","2.1%","0.6%","100.0%","52.2%","47.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,242","","14.7%","0.0%","1.1%","0.6%","6.1%","11.6%","12.3%","17.4%","3.9%","32.1%","","11.9%","12.7%","12.1%","12.7%","5.6%","17.7%","5.6%","3.9%","17.9%","32.0","","1,256","13.5%","26.8%","26.4%","33.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±213","","±10.9","±11.1","±4.1","±2.6","±1.1","±4.0","±0.05","±7.5","±4.7","±2.0","±2.6","±1.4","","±0.8","±2.3","±2.2","±0.8","±2.7","±10.0","±10.0","±2.7","±2.7","±2.7","±2.7","±2.7","±214","","±6.7","±2.8","±1.5","±1.0","±3.4","±5.8","±8.0","±6.2","±3.6","±8.6","","±7.8","±5.3","±5.9","±6.6","±4.5","±7.0","±6.0","±3.7","±7.1","±5.9","","±213","±10.4","±10.8","±9.1","±12.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4619.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","872","","64.1%","61.4%","2.8%","2.8%","0.0%","0.0%","1.03","16.4%","5.8%","0.2%","0.0%","13.4%","","97.5%","93.5%","4.0%","2.5%","100.0%","33.0%","67.0%","0.0%","0.0%","0.0%","0.0%","100.0%","755","","4.8%","0.0%","1.1%","2.6%","1.1%","11.7%","13.0%","26.8%","3.3%","35.8%","","17.1%","10.6%","9.0%","9.4%","6.0%","20.3%","3.0%","13.0%","11.7%","29.4","","869","10.9%","42.7%","44.3%","2.1%","","17.0%","8.1%","14.3%","23.0%","18.4%","1.7%"
"        Margin of Error","±174","","±10.9","±9.9","±3.8","±3.8","±3.9","±3.9","±0.03","±7.9","±3.8","±0.5","±3.9","±8.6","","±2.9","±4.3","±3.2","±2.9","±3.9","±9.8","±9.8","±3.9","±3.9","±3.9","±3.9","±3.9","±158","","±4.8","±4.5","±1.6","±4.1","±1.7","±6.2","±8.2","±11.8","±3.0","±11.0","","±7.3","±6.3","±6.2","±7.2","±6.0","±9.2","±3.0","±9.3","±7.5","±6.3","","±174","±6.0","±12.5","±13.5","±3.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","436","","68.1%","68.1%","0.0%","0.0%","0.0%","0.0%","1.01","13.5%","7.8%","0.0%","0.0%","10.6%","","97.9%","89.9%","8.0%","2.1%","100.0%","31.0%","69.0%","0.0%","0.0%","0.0%","0.0%","100.0%","390","","1.8%","0.0%","2.1%","5.1%","2.1%","10.3%","4.1%","29.5%","4.4%","40.8%","","15.1%","10.5%","13.6%","7.7%","7.9%","12.6%","4.1%","16.4%","12.1%","29.3","","435","5.3%","45.3%","49.4%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±117","","±12.9","±12.9","±7.7","±7.7","±7.7","±7.7","±0.03","±9.3","±6.2","±7.7","±7.7","±9.9","","±3.3","±7.0","±6.1","±3.3","±7.7","±12.7","±12.7","±7.7","±7.7","±7.7","±7.7","±7.7","±113","","±2.8","±8.6","±3.0","±7.8","±3.2","±7.4","±4.8","±14.7","±4.9","±14.6","","±11.7","±8.9","±11.0","±9.0","±10.1","±7.7","±4.7","±11.7","±7.9","±6.8","","±116","±5.1","±15.6","±15.5","±7.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","436","","60.1%","54.6%","5.5%","5.5%","0.0%","0.0%","1.05","19.3%","3.9%","0.5%","0.0%","16.3%","","97.0%","97.0%","0.0%","3.0%","100.0%","35.1%","64.9%","0.0%","0.0%","0.0%","0.0%","100.0%","365","","7.9%","0.0%","0.0%","0.0%","0.0%","13.2%","22.5%","23.8%","2.2%","30.4%","","19.2%","10.7%","4.1%","11.2%","3.8%","28.5%","1.9%","9.3%","11.2%","29.6","","434","16.6%","40.1%","39.2%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±116","","±12.2","±12.0","±8.0","±8.0","±7.7","±7.7","±0.07","±10.4","±4.2","±0.9","±7.7","±10.0","","±4.6","±4.6","±7.7","±4.6","±7.7","±14.5","±14.5","±7.7","±7.7","±7.7","±7.7","±7.7","±107","","±9.8","±9.1","±9.1","±9.1","±9.1","±11.1","±15.1","±15.5","±3.4","±14.1","","±13.0","±9.6","±4.7","±11.3","±4.2","±14.7","±3.2","±9.6","±10.9","±8.7","","±116","±9.8","±16.0","±16.2","±6.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4620.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,079","","71.5%","65.6%","5.9%","4.5%","1.0%","0.4%","1.05","13.2%","2.2%","2.1%","7.6%","3.4%","","100.0%","94.4%","5.6%","0.0%","100.0%","40.5%","59.5%","0.0%","0.0%","0.0%","0.0%","100.0%","2,008","","5.8%","2.7%","5.1%","5.2%","7.8%","15.0%","7.5%","17.9%","4.1%","28.9%","","5.0%","7.5%","21.2%","9.5%","0.0%","18.0%","4.1%","13.2%","21.5%","35.9","","2,079","11.4%","17.9%","47.4%","23.3%","","5.7%","9.8%","9.2%","12.6%","13.4%","0.0%"
"        Margin of Error","±249","","±9.4","±8.8","±3.4","±2.8","±1.1","±0.7","±0.03","±6.4","±1.9","±2.5","±3.9","±2.7","","±1.7","±3.5","±3.5","±1.7","±1.7","±5.7","±5.7","±1.7","±1.7","±1.7","±1.7","±1.7","±253","","±4.7","±2.0","±3.5","±4.3","±4.4","±7.3","±4.6","±6.7","±2.1","±8.3","","±2.9","±5.1","±6.4","±4.3","±1.7","±5.8","±2.3","±4.9","±6.2","±4.5","","±249","±8.2","±8.3","±11.8","±9.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,195","","74.1%","69.1%","4.9%","3.3%","1.7%","0.0%","1.04","9.3%","2.3%","3.7%","9.0%","1.8%","","100.0%","91.5%","8.5%","0.0%","100.0%","44.4%","55.6%","0.0%","0.0%","0.0%","0.0%","100.0%","1,174","","5.5%","3.8%","7.5%","5.9%","6.6%","16.6%","7.3%","17.6%","2.4%","26.7%","","5.9%","9.3%","23.6%","10.0%","0.0%","11.8%","4.3%","11.9%","23.3%","37.5","","1,195","15.2%","14.7%","49.4%","20.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±168","","±10.8","±10.4","±3.5","±2.9","±1.8","±2.9","±0.03","±6.2","±2.6","±4.2","±5.9","±2.0","","±2.9","±5.9","±5.9","±2.9","±2.9","±7.8","±7.8","±2.9","±2.9","±2.9","±2.9","±2.9","±168","","±4.9","±3.2","±5.9","±5.3","±5.2","±9.7","±4.4","±8.9","±2.0","±9.8","","±4.6","±7.8","±8.0","±6.0","±2.9","±6.4","±3.9","±5.7","±7.1","±7.2","","±168","±12.1","±8.2","±12.6","±8.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","884","","68.0%","60.7%","7.2%","6.2%","0.0%","1.0%","1.06","18.4%","2.0%","0.0%","5.9%","5.7%","","100.0%","98.2%","1.8%","0.0%","100.0%","35.4%","64.6%","0.0%","0.0%","0.0%","0.0%","100.0%","834","","6.2%","1.1%","1.8%","4.2%","9.4%","12.7%","7.7%","18.3%","6.6%","32.0%","","3.8%","5.0%","17.9%","8.9%","0.0%","26.6%","3.8%","15.0%","18.9%","33.7","","884","6.1%","22.2%","44.8%","26.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±181","","±14.9","±14.2","±5.6","±4.9","±3.9","±1.6","±0.05","±12.1","±3.3","±3.9","±6.3","±5.4","","±3.9","±2.0","±2.0","±3.9","±3.9","±10.3","±10.3","±3.9","±3.9","±3.9","±3.9","±3.9","±178","","±6.4","±1.6","±3.0","±4.3","±5.9","±10.7","±6.2","±8.1","±4.6","±12.6","","±4.3","±5.2","±7.6","±6.7","±4.1","±11.1","±3.9","±8.3","±11.3","±5.4","","±181","±4.9","±10.8","±14.8","±13.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4620.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,825","","77.7%","63.9%","13.8%","10.2%","0.4%","3.1%","1.12","9.6%","1.6%","1.4%","6.5%","3.2%","","100.0%","98.8%","1.2%","0.0%","100.0%","47.6%","52.4%","0.0%","0.0%","0.0%","0.0%","100.0%","1,767","","7.4%","1.8%","0.7%","9.3%","6.0%","17.1%","5.6%","24.7%","0.5%","26.9%","","6.1%","12.6%","21.8%","12.0%","1.0%","8.4%","11.3%","8.5%","18.3%","30.9","","1,825","11.2%","20.3%","46.7%","21.8%","","9.6%","13.8%","12.1%","17.4%","13.7%","2.7%"
"        Margin of Error","±240","","±6.0","±7.3","±6.7","±6.4","±0.6","±2.6","±0.06","±5.0","±1.8","±2.0","±3.5","±2.9","","±1.9","±1.2","±1.2","±1.9","±1.9","±8.1","±8.1","±1.9","±1.9","±1.9","±1.9","±1.9","±240","","±4.9","±2.7","±0.9","±5.5","±2.9","±6.8","±3.4","±6.9","±0.8","±8.0","","±3.8","±4.8","±7.8","±4.5","±1.1","±5.0","±5.6","±4.7","±6.6","±4.0","","±240","±7.1","±9.1","±12.4","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,034","","81.6%","71.7%","10.0%","9.3%","0.7%","0.0%","1.07","7.5%","2.2%","0.0%","6.8%","1.8%","","100.0%","97.9%","2.1%","0.0%","100.0%","39.3%","60.7%","0.0%","0.0%","0.0%","0.0%","100.0%","1,015","","5.0%","3.1%","1.2%","13.6%","7.0%","19.7%","3.6%","32.8%","0.8%","13.2%","","1.8%","10.9%","22.0%","7.6%","0.0%","12.5%","10.2%","12.2%","22.8%","35.9","","1,034","11.0%","17.7%","45.9%","25.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±191","","±7.0","±8.6","±8.5","±8.4","±1.0","±3.3","±0.06","±6.0","±2.7","±3.3","±4.8","±2.1","","±3.3","±2.1","±2.1","±3.3","±3.3","±11.4","±11.4","±3.3","±3.3","±3.3","±3.3","±3.3","±195","","±5.5","±4.6","±1.6","±9.8","±4.4","±10.5","±3.4","±11.9","±1.3","±8.7","","±1.9","±6.2","±11.3","±4.8","±3.4","±8.2","±6.3","±7.2","±11.5","±6.1","","±191","±8.4","±10.5","±14.0","±12.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","791","","72.6%","53.9%","18.7%","11.5%","0.0%","7.2%","1.20","12.4%","0.8%","3.2%","6.2%","4.9%","","100.0%","100.0%","0.0%","0.0%","100.0%","58.4%","41.6%","0.0%","0.0%","0.0%","0.0%","100.0%","752","","10.6%","0.0%","0.0%","3.5%","4.7%","13.7%","8.2%","13.8%","0.0%","45.5%","","12.0%","14.8%","21.7%","18.0%","2.3%","2.8%","12.8%","3.6%","12.2%","24.2","","791","11.5%","23.8%","47.7%","17.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
